rpc,relation,object_type,deriver,identities,source_proto_file,mode
/gibson.daemon.discovery.v1.DiscoveryService/DescribeAgent,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,gibson/daemon/discovery/v1/discovery.proto,rule
/gibson.daemon.discovery.v1.DiscoveryService/DescribePlugin,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,gibson/daemon/discovery/v1/discovery.proto,rule
/gibson.daemon.discovery.v1.DiscoveryService/DescribeTool,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,gibson/daemon/discovery/v1/discovery.proto,rule
/gibson.daemon.discovery.v1.DiscoveryService/ListAgents,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,gibson/daemon/discovery/v1/discovery.proto,rule
/gibson.daemon.discovery.v1.DiscoveryService/ListLLMSlots,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,gibson/daemon/discovery/v1/discovery.proto,rule
/gibson.daemon.discovery.v1.DiscoveryService/ListPlugins,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,gibson/daemon/discovery/v1/discovery.proto,rule
/gibson.daemon.discovery.v1.DiscoveryService/ListReportSurfaces,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,gibson/daemon/discovery/v1/discovery.proto,rule
/gibson.daemon.discovery.v1.DiscoveryService/ListTools,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,gibson/daemon/discovery/v1/discovery.proto,rule
/gibson.daemon.discovery.v1.DiscoveryService/SuggestMissingCapability,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,gibson/daemon/discovery/v1/discovery.proto,rule
/gibson.daemon.discovery.v1.DiscoveryService/ValidateComponent,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,gibson/daemon/discovery/v1/discovery.proto,rule
/gibson.daemon.discovery.v1.DiscoveryService/WhoAmI,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,gibson/daemon/discovery/v1/discovery.proto,rule
/gibson.daemon.logs.v1.LogsService/QueryDaemonLogs,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/logs/v1/logs.proto,rule
/gibson.daemon.logs.v1.LogsService/QueryMissionLogs,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/logs/v1/logs.proto,rule
/gibson.daemon.operator.v1.DaemonOperatorService/AckTenantProvisioned,platform_operator,system_tenant,system_tenant,USER|SERVICE,gibson/daemon/operator/v1/operator.proto,rule
/gibson.daemon.operator.v1.DaemonOperatorService/EmitAuditEvent,platform_operator,system_tenant,system_tenant,USER|SERVICE,gibson/daemon/operator/v1/operator.proto,rule
/gibson.daemon.operator.v1.DaemonOperatorService/ImpersonateTenant,platform_operator,system_tenant,system_tenant,USER|SERVICE,gibson/daemon/operator/v1/operator.proto,rule
/gibson.daemon.operator.v1.DaemonOperatorService/ListFeatureTuples,platform_operator,system_tenant,system_tenant,USER|SERVICE,gibson/daemon/operator/v1/operator.proto,rule
/gibson.daemon.operator.v1.DaemonOperatorService/ListPendingTenantProvisioning,platform_operator,system_tenant,system_tenant,USER|SERVICE,gibson/daemon/operator/v1/operator.proto,rule
/gibson.daemon.operator.v1.DaemonOperatorService/RefreshToolCatalog,platform_operator,system_tenant,system_tenant,USER|SERVICE,gibson/daemon/operator/v1/operator.proto,rule
/gibson.daemon.operator.v1.DaemonOperatorService/ReportTenantStatus,platform_operator,system_tenant,system_tenant,USER|SERVICE,gibson/daemon/operator/v1/operator.proto,rule
/gibson.daemon.operator.v1.DaemonOperatorService/SeedCatalogTenantEnabled,platform_operator,system_tenant,system_tenant,USER|SERVICE,gibson/daemon/operator/v1/operator.proto,rule
/gibson.daemon.operator.v1.DaemonOperatorService/SetPlatformEnabled,platform_operator,system_tenant,system_tenant,USER|SERVICE,gibson/daemon/operator/v1/operator.proto,rule
/gibson.daemon.operator.v1.DaemonOperatorService/SetTenantZitadelOrg,platform_operator,system_tenant,system_tenant,USER|SERVICE,gibson/daemon/operator/v1/operator.proto,rule
/gibson.daemon.operator.v1.DaemonOperatorService/Shutdown,platform_operator,system_tenant,system_tenant,USER|SERVICE,gibson/daemon/operator/v1/operator.proto,rule
/gibson.daemon.operator.v1.DaemonOperatorService/UpsertTenantQuota,platform_operator,system_tenant,system_tenant,USER|SERVICE,gibson/daemon/operator/v1/operator.proto,rule
/gibson.daemon.operator.v1.DaemonOperatorService/WriteAccessTuples,platform_operator,system_tenant,system_tenant,USER|SERVICE,gibson/daemon/operator/v1/operator.proto,rule
/gibson.daemon.v1.DaemonService/BuildComponent,admin,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/CompleteMissionCUE,writer,tenant,tenant_from_identity,USER,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/Connect,,,,,gibson/daemon/v1/daemon.proto,unauthenticated
/gibson.daemon.v1.DaemonService/CreateMission,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/CreateMissionDefinition,writer,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/CreateTarget,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/DeleteTarget,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/DiffCheckpoints,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/GetAgentStatus,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/GetCapabilityManifest,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/GetCheckpoint,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/GetComponentLogs,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/GetMissionCheckpoints,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/GetMissionDefinition,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/GetMissionGraph,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/GetMissionHistory,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/GetMissionLayout,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/GetMyPermissions,,,,USER,gibson/daemon/v1/daemon.proto,self
/gibson.daemon.v1.DaemonService/GetTarget,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/HoverMissionCUE,writer,tenant,tenant_from_identity,USER,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/ListAgents,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/ListCheckpoints,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/ListMissionDefinitions,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/ListMissions,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/ListMyMemberships,,,,USER,gibson/daemon/v1/daemon.proto,self
/gibson.daemon.v1.DaemonService/ListPlugins,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/ListTargets,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/ListTools,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/PauseMission,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/Ping,,,,,gibson/daemon/v1/daemon.proto,unauthenticated
/gibson.daemon.v1.DaemonService/QueryPlugin,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/RenewCapabilityGrant,member,tenant,tenant_from_identity,COMPONENT,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/ResumeMission,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/RunMission,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/SaveMissionLayout,writer,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/ShowComponent,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/StartComponent,admin,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/Status,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/StopComponent,admin,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/StopMission,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/Subscribe,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/UpdateMissionDefinition,writer,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/UpdateTarget,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/ValidateMissionCUE,writer,tenant,tenant_from_identity,USER,gibson/daemon/v1/daemon.proto,rule
/gibson.daemon.v1.DaemonService/WatchManifestInvalidations,member,tenant,tenant_from_identity,USER|SERVICE,gibson/daemon/v1/daemon.proto,rule
/gibson.graph.v1.GraphService/GetFindingCounts,member,tenant,tenant_from_identity,USER|SERVICE,gibson/graph/v1/graph.proto,rule
/gibson.graph.v1.GraphService/GetFindingTimeSeries,member,tenant,tenant_from_identity,USER|SERVICE,gibson/graph/v1/graph.proto,rule
/gibson.graph.v1.GraphService/GetFindings,member,tenant,tenant_from_identity,USER|SERVICE,gibson/graph/v1/graph.proto,rule
/gibson.graph.v1.GraphService/GetGraphContext,member,tenant,tenant_from_identity,USER|SERVICE,gibson/graph/v1/graph.proto,rule
/gibson.graph.v1.GraphService/GetGraphStats,member,tenant,tenant_from_identity,USER|SERVICE,gibson/graph/v1/graph.proto,rule
/gibson.graph.v1.GraphService/GetGraphSummary,member,tenant,tenant_from_identity,USER|SERVICE,gibson/graph/v1/graph.proto,rule
/gibson.graph.v1.GraphService/GetMissionGraph,member,tenant,tenant_from_identity,USER|SERVICE,gibson/graph/v1/graph.proto,rule
/gibson.graph.v1.GraphService/GetTenantGraph,member,tenant,tenant_from_identity,USER|SERVICE,gibson/graph/v1/graph.proto,rule
/gibson.graph.v1.GraphService/QueryPaths,member,tenant,tenant_from_identity,USER|SERVICE,gibson/graph/v1/graph.proto,rule
/gibson.graph.v1.GraphService/WatchGraphUpdates,member,tenant,tenant_from_identity,USER|SERVICE,gibson/graph/v1/graph.proto,rule
/gibson.harness.v1.HarnessCallbackService/Authorize,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/CallToolProto,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/CallToolProtoStream,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/CancelMission,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/CreateMission,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/DelegateToAgent,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/GenerateNodeID,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/GetCredential,can_resolve,secret,tenant_and_field('Name'),COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/GetMissionResults,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/GetMissionStatus,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/GetPlanContext,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/GetTaxonomySchema,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/LLMComplete,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/LLMCompleteStructured,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/LLMCompleteWithTools,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/LLMStream,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/ListAgents,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/ListMissions,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/ListPlugins,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/ListTools,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
/gibson.harness.v1.HarnessCallbackService/Observe,can_use,component,system_tenant,COMPONENT,gibson/harness/v1/harness_callback.proto,rule
