rpc,relation,object_type,deriver,identities,unauthenticated,source_proto_file
/gibson.component.v1.ComponentService/GetFindings,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/GetMissionResults,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/GetMissionRunHistory,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/GetMissionStatus,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/GetPluginConfig,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/GetRelatedFindings,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/GetRunFindings,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/GetTaxonomySchema,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/Heartbeat,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/ListAgents,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/ListAvailablePlugins,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/ListMissions,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/ListTenantPlugins,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/ListTools,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/MemoryClear,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/MemoryDelete,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/MemoryGet,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/MemoryGetPreviousRunValue,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/MemoryGetValueHistory,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/MemoryHistory,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/MemoryKeys,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/MemorySearch,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/MemorySet,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/PollWork,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/QueryNodes,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/QueryPlugin,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/QueueToolWork,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/RegisterComponent,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/ReportStepHints,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/RunMission,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/StoreNode,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/SubmitFinding,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/SubmitResult,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/TestPluginConnection,can_configure,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/ToolResults,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/UpdatePluginConfig,can_configure,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
/gibson.component.v1.ComponentService/WaitMission,can_execute,component,system_tenant,COMPONENT,false,gibson/component/v1/component.proto
